composition,instruction_level,sensitive_attr,n_pairs,n_pairs_visible,n_pairs_ciego,n_pairs_semillas_incompletas,k_seeds_max,sd_visible,sd_ciego,sd_ciego_atributo,F,ci95_lo_F,ci95_hi_F,p_fisher,p_levene,F_homog_ciego,p_homog_ciego,ciego_identico_entre_atributos,q_global,q_por_composicion,sig_BH_global,sig_BH_composicion,familia
homo_gpt,level_2_identity,gender,21,21,21,0,3,3750.5904048633342,4569.800335733018,4412.497537808266,0.6736042614409044,0.10894292418864567,3.5806819311599902,0.38443662346314655,0.5467891273698193,0.8732562259928949,0.7648102919835058,False,0.47220892944967724,0.46132394815577593,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_0_neutral,country,21,21,21,0,3,8442.767156616756,4530.989578540935,4530.989578540935,3.4720302272586863,1.4877413474429835,11.959409686103227,0.007629025394698452,0.01708085355583285,1.0,0.9999999999999996,True,0.02496771947355857,0.021233177340010623,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_0_neutral,gender,21,21,21,0,3,8009.280048198851,4530.989578540935,4530.989578540935,3.124646071144799,1.7760453632057498,6.324488672998895,0.014155451560007082,0.06630420412140389,1.0,0.9999999999999996,True,0.0380786269373558,0.021233177340010623,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_1_professional,country,21,21,21,0,3,6752.18830560032,3149.9050343457693,3149.9050343457693,4.5950915637054734,1.5106977082561392,25.27906055978013,0.001260943220046551,0.008046651033675963,1.0,0.9999999999999996,True,0.005674244490209479,0.007565659320279305,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_1_professional,gender,21,21,21,0,3,5629.356633395364,3149.9050343457693,3149.9050343457693,3.193909492656758,1.1862302492119021,17.41452157858642,0.012482860562138542,0.008459499151789633,1.0,0.9999999999999996,True,0.03744858168641563,0.021233177340010623,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_2_identity,country,21,21,21,0,3,5335.9265382834565,5636.23802923743,5636.23802923743,0.8962744823017811,0.3414204045188855,6.54955156426854,0.8089595836762303,0.3356805289899718,1.0,0.9999999999999996,True,0.8089595836762303,0.8089595836762303,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_llama,level_2_identity,gender,21,21,21,0,3,3853.3796547821357,5636.23802923743,5636.23802923743,0.4674174784849509,0.16456153018373898,4.1860234897196404,0.09688813428804721,0.9391166906693502,1.0,0.9999999999999996,True,0.20517487260998232,0.11626576114565665,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_0_neutral,country,21,21,21,0,3,5651.071696903603,2541.428477311727,2541.428477311727,4.944311801926337,1.6841793436721952,38.10165188854114,0.0007609065959408579,0.007021514759532218,1.0,0.9999999999999996,True,0.005674244490209479,0.0022827197878225736,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_0_neutral,gender,21,21,21,0,3,6259.265580841568,2541.428477311727,2541.428477311727,6.0658403286347715,1.3001938324270366,51.80760182586124,0.00017363055893437895,0.028367681650150484,1.0,0.9999999999999996,True,0.0027014463650396354,0.0010417833536062737,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_1_professional,country,21,21,21,0,3,3536.3190679570794,3854.684108551513,3854.684108551513,0.8416379284067794,0.4103456362022803,2.6743937431115334,0.7035810736191945,0.5949854421123961,1.0,0.9999999999999996,True,0.7449681955967942,0.7035810736191945,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_1_professional,gender,21,21,21,0,3,2881.3383060874653,3854.684108551513,3854.684108551513,0.5587414869534268,0.22346584730171234,2.262160348102207,0.2017459812247499,0.9518350805094333,1.0,0.9999999999999996,True,0.33012978745868166,0.24209517746969986,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_2_identity,country,21,21,21,0,3,4165.344966198341,2660.7722200290477,2660.7722200290477,2.450679704591428,1.3770309119248179,12.657661025142026,0.051398816356769794,0.03248827649876087,1.0,0.9999999999999996,True,0.11564733680273204,0.07709822453515469,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_mistral,level_2_identity,gender,21,21,21,0,3,5722.803765540882,2660.7722200290477,2660.7722200290477,4.625964687568799,2.551578113756517,20.53661396523853,0.0012047208896226458,0.008599586382640455,1.0,0.9999999999999996,True,0.005674244490209479,0.0024094417792452916,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_0_neutral,country,21,21,21,0,3,4303.711406538221,2101.901381604146,2101.901381604146,4.192389369550898,1.8166096299514787,11.834712180141207,0.0023275519927408173,0.0043044227710287855,1.0,0.9999999999999996,True,0.009310207970963269,0.003491327989111226,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_0_neutral,gender,21,21,21,0,3,3700.7647275105514,2101.901381604146,2101.901381604146,3.099975638832336,1.0479650958690205,9.758709747818582,0.014808354920082811,0.051350012576967724,1.0,0.9999999999999996,True,0.0380786269373558,0.017770025904099374,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_1_professional,country,21,21,21,0,3,3923.9631321450843,1368.282514571658,1368.282514571658,8.224287474060286,2.473784503074806,34.28735400493201,1.6343310925259757e-05,0.0026790827167806307,1.0,0.9999999999999996,True,0.0005883591933093513,9.805986555155854e-05,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_1_professional,gender,21,21,21,0,3,2963.6521257094637,1368.282514571658,1368.282514571658,4.691404663107233,1.2464589978777931,17.775399196364035,0.0010943849735656208,0.030576070305284635,1.0,0.9999999999999996,True,0.005674244490209479,0.0021887699471312416,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_2_identity,country,21,21,21,0,3,6406.588915784012,2899.8257928883468,2899.8257928883468,4.881012267372351,1.2359482923495355,32.72279788609478,0.0008324185597576861,0.02593444103214649,1.0,0.9999999999999996,True,0.005674244490209479,0.0021887699471312416,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_qwen,level_2_identity,gender,21,21,21,0,3,2401.783674738026,2899.8257928883468,2899.8257928883468,0.6859997543908414,0.19940805219543414,2.782163411850086,0.40662435591499985,0.6688291428940778,1.0,0.9999999999999996,True,0.47220892944967724,0.40662435591499985,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
