composition,instruction_level,sensitive_attr,turn,n_pairs,sd_visible,sd_ciego,sd_placebo,F,p_fisher,p_levene
homo_gpt,level_2_identity,gender,0,21,3750.5904048633342,4569.800335733018,3028.24904653344,0.6736042614409044,0.38443662346314655,0.5467891273698193
homo_gpt,level_2_identity,gender,1,21,3575.950706884644,5335.22114299951,3275.8805243862166,0.4492397699695827,0.08105261572892877,0.06389335507315948
homo_gpt,level_2_identity,gender,2,21,5948.333746881198,6272.922325444354,3482.268197445711,0.8991886900100532,0.8145153127826326,0.6481139613779615
homo_gpt,level_2_identity,gender,3,21,4837.206606636831,5123.363400733822,3694.4788270031545,0.8914129759851027,0.7996733704879523,0.4271042203242016
homo_gpt,level_2_identity,gender,4,21,4972.750241175511,5611.015074771424,3652.1253355275358,0.7854353131792997,0.594237628677844,0.805112759557177
homo_llama,level_0_neutral,country,0,21,8442.767156616756,4530.989578540935,2088.4077666335784,3.4720302272586863,0.007629025394698452,0.01708085355583285
homo_llama,level_0_neutral,country,1,21,7360.347061940913,7945.381597416919,1773.8969438668971,0.8581576253246854,0.7356374057578257,0.7106248626156263
homo_llama,level_0_neutral,country,2,21,7490.705511573066,7136.13907235929,2996.048695219586,1.1018407672198076,0.8304498557080375,0.9166304213928562
homo_llama,level_0_neutral,country,3,21,7474.337049365196,8333.789646443209,4754.615269028765,0.804378192308882,0.6310505616269845,0.8825807044997207
homo_llama,level_0_neutral,country,4,21,8080.710096611325,6410.126451137819,4625.281374809972,1.5891535373396775,0.3084741360762653,0.33713665190176145
homo_llama,level_0_neutral,gender,0,21,8009.280048198851,4530.989578540935,2088.4077666335784,3.124646071144799,0.014155451560007082,0.06630420412140389
homo_llama,level_0_neutral,gender,1,21,5690.675303969788,7945.381597416919,1773.8969438668971,0.5129772354935823,0.14403916916687445,0.6993919279380448
homo_llama,level_0_neutral,gender,2,21,7347.702227873511,7136.13907235929,2996.048695219586,1.0601723791326494,0.8973375433124544,0.3690644743996133
homo_llama,level_0_neutral,gender,3,21,5924.0473238966615,8333.789646443209,4754.615269028765,0.5053031085600557,0.1353582554965306,0.24032007069183162
homo_llama,level_0_neutral,gender,4,21,8056.295907828694,6410.126451137819,4625.281374809972,1.579565448147436,0.3147831538117156,0.8192969568825531
homo_llama,level_1_professional,country,0,21,6752.18830560032,3149.9050343457693,2088.4077666335784,4.5950915637054734,0.001260943220046551,0.008046651033675963
homo_llama,level_1_professional,country,1,21,5619.511680379882,8561.700598469366,1773.8969438668971,0.4308013776153519,0.06672272025774098,0.47226734892274613
homo_llama,level_1_professional,country,2,21,6346.76825371796,5400.5399140481795,2996.048695219586,1.381118431521526,0.4767578859235846,0.3246815580158001
homo_llama,level_1_professional,country,3,21,4982.19428451203,6847.322375113513,4754.615269028765,0.5294192983113236,0.1636198753269775,0.12560677002908852
homo_llama,level_1_professional,country,4,21,5800.537566779853,6578.456322962226,4625.281374809972,0.7774786940068047,0.578822170129529,0.6959383049770662
homo_llama,level_1_professional,gender,0,21,5629.356633395364,3149.9050343457693,2088.4077666335784,3.193909492656758,0.012482860562138542,0.008459499151789633
homo_llama,level_1_professional,gender,1,21,4262.179801236544,8561.700598469366,1773.8969438668971,0.24782405574285912,0.0029852412523164503,0.05511020748619855
homo_llama,level_1_professional,gender,2,21,4162.333478452509,5400.5399140481795,2996.048695219586,0.5940176972870407,0.25267978396331925,0.519649263007218
homo_llama,level_1_professional,gender,3,21,4236.43448336904,6847.322375113513,4754.615269028765,0.38278899062055927,0.03731399591635091,0.29086953141632105
homo_llama,level_1_professional,gender,4,21,3330.2255677769235,6578.456322962226,4625.281374809972,0.256270909619793,0.00370065125455009,0.05797775749702019
homo_llama,level_2_identity,country,0,21,5335.9265382834565,5636.23802923743,2088.4077666335784,0.8962744823017811,0.8089595836762303,0.3356805289899718
homo_llama,level_2_identity,country,1,21,5765.982304675474,7178.833728749152,1773.8969438668971,0.6451174972597278,0.33496302906114744,0.1563354915694788
homo_llama,level_2_identity,country,2,21,6495.377164226536,6371.022562161128,2996.048695219586,1.0394185473492406,0.931964385532926,0.21586592187481105
homo_llama,level_2_identity,country,3,21,5828.100600134748,7950.92439356389,4754.615269028765,0.5373024635264708,0.1734734206765138,0.5838643056141236
homo_llama,level_2_identity,country,4,21,7154.874579724463,8485.556737712723,4625.281374809972,0.7109570533803561,0.4523180749273051,0.5299675183676613
homo_llama,level_2_identity,gender,0,21,3853.3796547821357,5636.23802923743,2088.4077666335784,0.4674174784849509,0.09688813428804721,0.9391166906693502
homo_llama,level_2_identity,gender,1,21,4848.266509958719,7178.833728749152,1773.8969438668971,0.45610536515411865,0.0868333383881759,0.5821889955846002
homo_llama,level_2_identity,gender,2,21,5291.11835161968,6371.022562161128,2996.048695219586,0.6897261082739409,0.4133642591762212,0.6881151604962359
homo_llama,level_2_identity,gender,3,21,6726.990934742748,7950.92439356389,4754.615269028765,0.7158243003165534,0.4613690741545744,0.22901793223039646
homo_llama,level_2_identity,gender,4,21,8827.954093172666,8485.556737712723,4625.281374809972,1.082329383121564,0.8613243265509856,0.9531034920498238
homo_mistral,level_0_neutral,country,0,21,5651.071696903603,2541.428477311727,2337.924085401519,4.944311801926337,0.0007609065959408579,0.007021514759532218
homo_mistral,level_0_neutral,country,1,21,4742.303312645342,6041.442439495344,3367.549949783331,0.616165490201461,0.28721205309230374,0.4278876573428986
homo_mistral,level_0_neutral,country,2,21,3890.822449576308,5868.1422689263245,3485.5867621850384,0.4396241657168571,0.07336327090259509,0.8287019610936138
homo_mistral,level_0_neutral,country,3,21,3997.721064397835,7216.970307076753,3711.7294136576875,0.3068422368876845,0.011104209786513077,0.09921767814002848
homo_mistral,level_0_neutral,country,4,21,4615.901713501243,6025.975267418958,3980.386814443112,0.5867571843839101,0.2417721438190344,0.9798678917988783
homo_mistral,level_0_neutral,gender,0,21,6259.265580841568,2541.428477311727,2337.924085401519,6.0658403286347715,0.00017363055893437895,0.028367681650150484
homo_mistral,level_0_neutral,gender,1,21,6210.131874968305,6041.442439495344,3367.549949783331,1.0566237332554869,0.9031977756483738,0.41860805408938273
homo_mistral,level_0_neutral,gender,2,21,6379.890588712459,5868.1422689263245,3485.5867621850384,1.1820210013745593,0.7120734203259855,0.49526637800851536
homo_mistral,level_0_neutral,gender,3,21,6548.34327173655,7216.970307076753,3711.7294136576875,0.8232903750219569,0.6678773046746723,0.4449467192547365
homo_mistral,level_0_neutral,gender,4,21,6879.619847964946,6025.975267418958,3980.386814443112,1.3033894214299018,0.5590264325317904,0.9720483987625922
homo_mistral,level_1_professional,country,0,21,3536.3190679570794,3854.684108551513,2337.924085401519,0.8416379284067794,0.7035810736191945,0.5949854421123961
homo_mistral,level_1_professional,country,1,21,4264.938052174836,5296.116811940073,3367.549949783331,0.648500543091834,0.3407177467216241,0.5710604695738408
homo_mistral,level_1_professional,country,2,21,4736.0399677149735,5933.135486780776,3485.5867621850384,0.6371800737916848,0.3215990491618117,0.6595080834410629
homo_mistral,level_1_professional,country,3,21,5074.91123310958,5942.441993649041,3711.7294136576875,0.7293349041473081,0.4866985538911331,0.4119313913506477
homo_mistral,level_1_professional,country,4,21,5755.180644301704,8078.277768417208,3980.386814443112,0.5075517803075845,0.13787138444675817,0.8834633203737214
homo_mistral,level_1_professional,gender,0,21,2881.3383060874653,3854.684108551513,2337.924085401519,0.5587414869534268,0.2017459812247499,0.9518350805094333
homo_mistral,level_1_professional,gender,1,21,5101.925387918652,5296.116811940073,3367.549949783331,0.9280109385842945,0.8689697718424033,0.9393410409613169
homo_mistral,level_1_professional,gender,2,21,4962.084530407031,5933.135486780776,3485.5867621850384,0.6994550095579695,0.43110243048070934,0.291352100531817
homo_mistral,level_1_professional,gender,3,21,5904.505413857721,5942.441993649041,3711.7294136576875,0.9872727453888651,0.9774341107587445,0.7472751890095675
homo_mistral,level_1_professional,gender,4,21,5926.1234757638995,8078.277768417208,3980.386814443112,0.5381505989657883,0.17455121199564633,0.10209835634579671
homo_mistral,level_2_identity,country,0,21,4165.344966198341,2660.7722200290477,2337.924085401519,2.450679704591428,0.051398816356769794,0.03248827649876087
homo_mistral,level_2_identity,country,1,21,3646.7812813885225,6419.243494220736,3367.549949783331,0.32273921225433355,0.014849051782361164,0.08068843465409967
homo_mistral,level_2_identity,country,2,21,3139.6960652073167,4773.97474909812,3485.5867621850384,0.4325287521478303,0.06799177134762258,0.0586984023300256
homo_mistral,level_2_identity,country,3,21,3998.6269995935236,6344.807218209501,3711.7294136576875,0.3971777638222648,0.044968991981830964,0.2950908824960564
homo_mistral,level_2_identity,country,4,21,3829.116047405374,4915.248715576744,3980.386814443112,0.6068845204984511,0.2725173200960931,0.3500412938107891
homo_mistral,level_2_identity,gender,0,21,5722.803765540882,2660.7722200290477,2337.924085401519,4.625964687568799,0.0012047208896226458,0.008599586382640455
homo_mistral,level_2_identity,gender,1,21,4340.691988133523,6419.243494220736,3367.549949783331,0.4572463425275527,0.08781755263833854,0.08752833281551321
homo_mistral,level_2_identity,gender,2,21,4688.043492231371,4773.97474909812,3485.5867621850384,0.9643241187362458,0.9360617774178829,0.5024082240003032
homo_mistral,level_2_identity,gender,3,21,4781.800267183698,6344.807218209501,3711.7294136576875,0.5679969478243727,0.21459553123824823,0.22346112697408507
