composition,instruction_level,sensitive_attr,n_pairs,n_pairs_descartadas,k_seeds,icc,F,p_value,q_value,sig_BH,sd_entre_parejas,sd_dentro_pareja
homo_llama,level_0_neutral,country,21,0,3,0.16685356956151365,1.6008076016374397,0.09867800165834148,0.41444760696503424,False,5172.291019123727,11557.818506232734
homo_llama,level_0_neutral,gender,21,0,3,0.1324390649587256,1.457970361306407,0.14962113826457832,0.5444627349943145,False,4488.878161015786,11488.93464330332
homo_llama,level_1_professional,country,21,0,3,0.18416472089541372,1.6772128845575627,0.0785413450959669,0.4123420617538262,False,4290.550881028964,9030.48504537613
homo_llama,level_1_professional,gender,21,0,3,0.10060703716451957,1.3355831365880597,0.21065524234190472,0.5444627349943145,False,2821.7813851036462,8436.919921506
homo_llama,level_1_professional,placebo,21,0,3,-0.031388280088414766,0.9087008820216843,0.5792435034071184,0.7847815207451281,False,0.0,3794.5951929779585
homo_llama,level_2_identity,country,21,0,3,-0.08574057848627419,0.7630909808884201,0.7389916143287152,0.9232577893389243,False,0.0,10579.918176012096
homo_llama,level_2_identity,gender,21,0,3,-0.2059480634535023,0.4876693208568438,0.957090963383064,0.957090963383064,False,0.0,9557.398838156087
homo_mistral,level_0_neutral,country,21,0,3,0.25210239972287485,2.0112443185917206,0.02818918900852857,0.29598648458955,False,4007.0655739607205,6901.746911367543
homo_mistral,level_0_neutral,gender,21,0,3,0.199138440993309,1.7459657867970357,0.0637978054204482,0.4123420617538262,False,4091.334321565534,8204.764910834649
homo_mistral,level_1_professional,country,21,0,3,-0.029727026198457802,0.913393475817944,0.574098198385959,0.7847815207451281,False,0.0,6408.89442648584
homo_mistral,level_1_professional,gender,21,0,3,-0.19636208776820516,0.5076020300814224,0.9478808310874699,0.957090963383064,False,0.0,7004.75911802735
homo_mistral,level_1_professional,placebo,21,0,3,0.11912223878770534,1.405693879558607,0.17349506733015868,0.5444627349943145,False,1255.9844312468174,3415.4320975095397
homo_mistral,level_2_identity,country,21,0,3,0.002993440969830503,1.0090072856874954,0.4725645555457888,0.7225022819863193,False,393.55079356596843,7182.315043281824
homo_mistral,level_2_identity,gender,21,0,3,0.1977918608366111,1.7396778386325724,0.06502810591120736,0.4123420617538262,False,3731.6056521451583,7515.105227959327
homo_qwen,level_0_neutral,country,21,0,3,0.011682885087318795,1.0354629650069886,0.44599604749495625,0.7225022819863193,False,796.4589150150042,7325.4866870659835
homo_qwen,level_0_neutral,gender,21,0,3,0.04150397486539823,1.1299034334322977,0.35828903751601765,0.684006344348761,False,1254.8191182176201,6030.196153262794
homo_qwen,level_1_professional,country,21,0,3,0.009377113014837554,1.028397626800373,0.4530135985857509,0.7225022819863193,False,652.0567711512747,6702.009093465101
homo_qwen,level_1_professional,gender,21,0,3,0.09071197090347664,1.2992846094991777,0.23239133812804225,0.5444627349943145,False,1422.3853471058317,4503.350035216288
homo_qwen,level_1_professional,placebo,21,0,3,0.01014710431439904,1.0307533706027223,0.4506673142633376,0.7225022819863193,False,403.6511218547562,3986.7631030301436
homo_qwen,level_2_identity,country,21,0,3,0.18588645063204154,1.684989645890388,0.07672431787050524,0.4123420617538262,False,4084.7947867509465,8548.479353542156
homo_qwen,level_2_identity,gender,21,0,3,-0.08887603336047589,0.7551345682037254,0.7473991627981769,0.9232577893389243,False,0.0,4787.208468060136
